recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
MEGGITT SAFETY SYSTEMS INC,2002,CA-31,0.0
ITT AEROSPACE CONTROLS LLC,2002,CA-27,0.0
STRONGHOLD ENGINEERING INC,2002,CA-39,1110.0
AUSPEX SYSTEMS INC,2002,CA-17,28125.0
"LEIDOS, INC.",2002,CA-90,159000.0
"AECOM TECHNICAL SERVICES, INC.",2002,CA-90,868815.0
CLAUSS CONSTRUCTION,2002,CA-48,1190139.0
"G. A. TYLER ASSOCIATES, INC.",2002,CA-46,10000.0
OAKWOOD WORLDWIDE,2002,CA-51,112167.0
DELFIN SYSTEMS,2002,CA-17,167383.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-44,191257.0
L-3 COMMUNICATIONS WESCAM,2002,CA-02,200000.0
CALIFORNIA MILITARY DEPARTMENT,2002,CA-90,2648.0
DELFIN SYSTEMS,2002,CA-17,39613.0
C H SERVICE CO,2002,CA-46,47357.0
"AREA ELECTRONICS SYSTEMS, INC.",2002,CA-45,2650.0
KED CONSTRUCTION,2002,CA-90,29826.0
"TOWILL, INC.",2002,CA-90,0.0
INFINITY MICROCOMPUTER INC.,2002,CA-36,3085.0
"PRIMATE PRODUCTS, INC.",2002,CA-90,51350.0
JENIKE & JOHANSON INC,2002,,30300.0
RAYTHEON COMPANY,2002,CA-36,29705.0
TRW INC,2002,CA-36,525000.0
HYDRAFLOW,2002,CA-45,31627.0
"TECHNOMICS, INC.",2002,CA-24,0.0
C MARTIN CO INC,2002,CA-20,165189.0
LOCKHEED MARTIN CORPORATION,2002,CA-17,598911.0
"HI-TECH EMERGENCY VEHICLE SERVICE, INC.",2002,CA-05,98912.0
MALABAR,2002,CA-26,7933.0
"NOBEL BIOCARE USA, LLC",2002,CA-40,-37472.0
MISSION RESEARCH CORPORATION,2002,CA-24,124506.0
"TELEDYNE FLIR COMMERCIAL SYSTEMS, INC.",2002,CA-24,79000.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-90,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-36,200000.0
H & H ENGINEERING CONSTRUCTION INC,2002,CA-09,10332.0
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2123),2002,CA-12,170898.0
"BECHTEL NATIONAL, INC.",2002,CA-90,-3476245.0
GE AVIATION SYSTEMS LLC,2002,CA-90,155208.0
"SERENA SOFTWARE, INC.",2002,CA-15,91691.0
"NORTHROP GRUMMAN DEFENSE MISSION SYSTEMS, INC.",2002,CA-44,733501.0
HENKEL US OPERATIONS CORPORATION,2002,CA-08,27955.0
"BOEING COMPANY, THE",2002,CA-32,2000000.0
"VARIAN MEDICAL SYSTEMS, INC.",2002,CA-17,-56714.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-36,104810.0
MENDELIAN CONSTRUCTION INC.,2002,CA-11,414872.0
"BOEING COMPANY, THE (INC)",2002,CA-46,988411.0
"AEROMETALS, INC.",2002,CA-05,43875.0
"EVOLVING RESOURCES, INC.",2002,CA-26,27707.0
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2002,CA-36,2025110.0
"INTEGRITY MANAGEMENT SERVICES, INC.",2002,CA-24,80142.0
ANADIGICS,2002,CA-26,-405.0
"SYSTEM ENGINEERING & INTEGRATION DEFENSE CONTRACTORS, INCORPORATED",2002,CA-49,89253.0
GEN-PROBE INCORPORATED,2002,CA-90,77873.0
"MICROCOSM, INC",2002,CA-36,134835.0
"BOYCE, RONALD E",2002,CA-23,100000.0
FORTRESS GSA PROPS  SACRAMENTO,2002,CA-90,12898.0
"ELECTRO-OPTICAL INDUSTRIES, LLC",2002,CA-24,15990.0
"DV411, INC.",2002,CA-90,0.0
L-3 COMMUNICATIONS WESCAM,2002,CA-02,1114800.0
PARSON/GRANITE JOINT VENTURE,2002,CA-28,0.0
ATLANTIC BUSINESS ORGANIZATIONS CORP.,2002,CA-51,68094.0
"QUANTIC INDUSTRIES, INC",2002,CA-15,44148.0
LH SYSTEMS LLC,2002,CA-90,118370.0
SRI INTERNATIONAL,2002,CA-16,707280.0
PHILADELPHIA GEAR CORPORATION,2002,CA-44,50000.0
ALLRIGHT DIVERSIFIED SERVICES INC,2002,CA-21,125000.0
