recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"GBH COMMUNICATIONS, INC.",2003,CA-30,87274.0
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2123),2003,CA-12,108000.0
UNIVERSITY OF SOUTHERN CALIFORNIA,2003,CA-90,130890.0
ORACLE CORPORATION,2003,CA-15,36447.0
"LEIDOS, INC.",2003,CA-90,700000.0
STERLING COMPUTERS CORPORATION,2003,,13077.0
"EARTHGRAINS BAKING COMPANIES, INC",2003,CA-90,0.0
"JOB OPTIONS, INCORPORATED",2003,CA-90,53511.0
SYSTEM TECHNICAL SUPPORT CORPORATION,2003,CA-90,27600.0
SYPRIS DATA SYSTEMS INCORPORATED,2003,CA-31,154632.0
LOCKHEED MARTIN CORPORATION,2003,CA-17,1618051.0
SURFACE OPTICS CORPORATION,2003,CA-90,69386.0
STARZZ MANAGEMENT SERVICES,2003,CA-90,106656.0
"J.L SHEPHERD AND ASSOCIATES, INC.",2003,CA-29,52550.0
"MASTER RESEARCH & MANUFACTURING, INC.",2003,CA-38,0.0
"LEIDOS, INC.",2003,CA-90,1300000.0
NEWTECH COPIER & FAX INC,2003,CA-45,22457.0
AZTEC TECHNOLOGY CORP,2003,CA-49,32914.0
"ENTERPRISE RENT-A-CAR COMPANY OF LOS ANGELES, LLC",2003,CA-90,1025.0
ELIZABETH & ASSOCIATES MANAGEMENT SERVICES COMPANY,2003,CA-19,122810.0
"CARBON GRAPHICS, LLC",2003,,5175.0
ALL CITIES ENTERPRISES,2003,CA-35,250000.0
"BRANDES ASSOCIATES, INC.",2003,CA-24,347510.0
"BOEING SATELLITE SYSTEMS, INC.",2003,CA-36,25000.0
MECHATRONIC SYSTEMS LLC,2003,,16968.0
FAKHRUDDIN SHAKIR,2003,CA-90,3125.0
ERM-WEST INC,2003,CA-10,7282.0
"LEIDOS, INC.",2003,CA-90,114910.0
GILBANE FEDERAL,2003,CA-10,3535.0
"INTELLISCAN, INC",2003,CA-40,9749.0
"CORELOGIC SOLUTIONS, LLC",2003,CA-46,26990.0
"LEIDOS, INC.",2003,CA-90,150000.0
"QUIMBA SOFTWARE, INC.",2003,CA-16,98918.0
"SHAW ENVIRONMENTAL, INC.",2003,CA-10,66987.0
"PACIFIC WEST COAST SPECIALTIES AND INSTALLATIONS, INC",2003,CA-20,2678.0
COMMUNICATIONS & POWER INDUSTRIES LLC,2003,CA-15,13980.0
"K S D, INC.",2003,CA-25,92484.0
"BECKMAN COULTER, INC.",2003,CA-22,28275.0
DATAFLIGHT SOFTWARE INC,2003,CA-90,6549.0
ENGILITY CORPORATION,2003,CA-90,7826.0
VISTA AVIATION INC,2003,CA-29,42240.0
COUNTY EQUIPMENT SERVICES,2003,CA-26,92468.0
NEAL'S JANITORIAL SERVICE,2003,CA-90,51600.0
UNIVERSITY OF SOUTHERN CALIFORNIA,2003,CA-90,228561.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2003,CA-90,145000.0
"FIRE PROTECTION, INC.",2003,CA-47,29600.0
"MITCHELL INSTRUMENTS COMPANY, INC.",2003,CA-50,4168.0
"CUMMINS AEROSPACE, LLC",2003,CA-46,61925.0
"J.F.L. ELECTRIC, INC.",2003,CA-90,149000.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2003,CA-36,225980.0
VTC ENTERPRISES,2003,CA-24,651622.0
"SEKAI ELECTRONICS, INC.",2003,CA-38,34060.0
"RAINBOW - BRITE INDUSTRIAL SERVICES, LLC",2003,CA-20,211361.0
"VETERANS COMMUNICATION SERVICES, INCORPORATED",2003,CA-35,55523.0
COPE & MC PHETRES INC,2003,CA-03,34364.0
"W. B. WALTON ENTERPRISES, INC.",2003,CA-39,30704.0
THE AEROSPACE CORPORATION,2003,CA-36,80918609.0
DG ENGINEERING CORP,2003,CA-24,0.0
"LEIDOS, INC.",2003,CA-90,20000.0
"LEIDOS, INC.",2003,CA-90,-19100.0
BOSTON SCIENTIFIC NEUROMODULATION CORP,2003,CA-29,49900.0
WASSCO,2003,CA-48,8424.0
DIVERSIFIED TECHNOLOGY & DEVELOPMENT INC,2003,CA-90,69610.0
RAYTHEON CANADA LIMITED,2003,,11967.0
VIAVI SOLUTIONS INC.,2003,CA-17,19750.0
"AIR DRY CO OF AMERICA, LLC",2003,CA-90,418.0
CU ENTERPRISES LTD,2003,CA-24,12400.0
PERT CONSTRUCTION CO INC,2003,CA-90,5400.0
"MATSON NAVIGATION COMPANY, INC.",2003,CA-90,0.0
"TRANSPOWER TESTING, INC.",2003,CA-46,24357.0
"TECHFINITY, INC.",2003,CA-26,629479.0
DAVID LIBBY,2003,CA-52,48745.0
MCA ENGINEERS INC,2003,CA-26,389210.0
VORTEX CONSTRUCTION,2003,CA-22,40000.0
PTI TECHNOLOGIES INC.,2003,CA-26,64980.0
ACE ENGINEERING INC,2003,CA-31,664000.0
"INTEGRATED POLYMER INDUSTRIES, INC.",2003,CA-46,58160.0
"AP LABS, INC.",2003,CA-50,87000.0
"MAXWELL TECHNOLOGIES, INC.",2003,CA-51,71974.0
GARRATT-CALLAHAN COMPANY,2003,CA-15,2590.0
"A-1 ENTERPRISES, INC.",2003,CA-46,6987.0
STANFORD RESEARCH SYSTEMS INC.,2003,CA-17,4076.0
CALIFORNIA STATE UNIVERSITY LONG BEACH,2003,CA-90,5661.0
BAYWOOD ENVIRONMENTAL SERVICES INC,2003,CA-02,50000.0
ASSET GROUP INC,2003,,9927.0
KDC INC,2003,CA-45,7147.0
XEROX CORPORATION,2003,CA-31,338412.0
AGBAYANI CONSTRUCTION CORPORATION,2003,CA-15,29200.0
PARKER HANNIFIN CUSTOMER SUPPO,2003,CA-47,0.0
