recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",SAN BERNARDINO,2008,CA-23,2204.0
"HD SUPPLY FACILITIES MAINTENANCE, LTD.",,2008,CA-90,9353.33
MICROSEMI FREQUENCY AND TIME CORP,SANTA CLARA,2008,CA-17,4786.0
"LEIDOS, INC.",,2008,CA-90,0.0
ARETE ASSOCIATES,LOS ANGELES,2008,CA-32,395730.0
LN CURTIS & SONS,ALAMEDA,2008,CA-12,20257.3
LN CURTIS & SONS,ALAMEDA,2008,CA-12,7792.43
KING NUTRONICS CORPORATION,LOS ANGELES,2008,CA-32,-1514.0
"TAB HARDWARE, INC.",LOS ANGELES,2008,CA-42,112.0
CHRISBARRY AIRCRAFT CORP,LOS ANGELES,2008,CA-29,300.0
FURNITURE BY THURSTON,NEVADA,2008,CA-03,346961.98
"ADVANCED SURVEY DESIGN, LLC",MONTEREY,2008,CA-19,81738.0
HST SAN DIEGO HH LP,SAN DIEGO,2008,CA-50,70770.0
"GOVPLACE, LLC",,2008,CA-24,999.11
"ZAGAMI, INC.",SAN DIEGO,2008,CA-51,3691.03
RAYTHEON COMPANY,SAN DIEGO,2008,CA-51,24150.0
"PELCO, INC.",FRESNO,2008,CA-20,4188.01
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,11266.79
"AUTOPARTSPROS, LLC",,2008,CA-50,0.0
"PACIFIC MARINE SUPPLY, INC",SAN DIEGO,2008,CA-51,9995.0
BRILSILCO INC,SAN BERNARDINO,2008,CA-33,1400.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,,2008,CA-32,0.0
KING NUTRONICS CORPORATION,LOS ANGELES,2008,CA-32,5270.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,45135.0
"QUARTERMASTER, LLC",LOS ANGELES,2008,CA-45,5124.9
CHRISBARRY AIRCRAFT CORP,LOS ANGELES,2008,CA-29,22050.0
TOYON RESEARCH CORPORATION,SANTA BARBARA,2008,CA-24,100000.0
"PRANALYTICA, INC.",LOS ANGELES,2008,CA-36,974644.0
HEAT LIGHT & SOUND RESEARCH INC,,2008,CA-90,24920.0
"TETRA TECH, INC.",SAN FRANCISCO,2008,CA-11,0.0
CONTAINMENT CORPORATION,ORANGE,2008,CA-45,60800.0
INTERNATIONAL PROGRAM GROUP,RIVERSIDE,2008,CA-25,27468.0
DELTA SCIENTIFIC CORPORATION,LOS ANGELES,2008,CA-27,154352.0
"LEIDOS, INC.",SAN DIEGO,2008,CA-50,92833.6
KINSBURSKY BROS SUPPLY INC,,2008,CA-46,-8960.0
"MANN+HUMMEL WATER & FLUID SOLUTIONS, INC.",SANTA BARBARA,2008,CA-24,69906.0
BENCHMARK PUBLICATIONS INC,SAN DIEGO,2008,CA-50,0.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,0.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,-300000.0
"LEIDOS, INC.",,2008,CA-90,1822188.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,,2008,CA-90,85692.0
TYCO ELECTRONICS CORPORATION,SAN MATEO,2008,CA-15,7190.0
"R/C METALS ELECTRONIC, INC.",LOS ANGELES,2008,CA-38,160.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,,2008,CA-90,133155.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,-136025.0
"FIREHOUSE MEDICAL, INC.",ORANGE,2008,CA-40,17926.92
BARR LUMBER CO,SAN BERNARDINO,2008,CA-23,6935.0
"EXCLUSIVE TENT RENTALS, INC",,2008,CA-31,-3248.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,,2008,CA-90,446879.0
WESTERN FAB INC,SAN BERNARDINO,2008,CA-23,10800.0
IKON OFFICE SOLUTIONS INC,,2008,CA-90,12596.0
